"FeatureID","key","名称","説明","単位","型","計算式","利用AI","group","availablePreRace","sourceFields","missingPolicy","leakageRisk","schemaVersion"
"F001","race_year","レース 年","レース 年を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: race_year","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F002","race_month","レース 月","レース 月を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: race_month","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F003","race_day","レース 日","レース 日を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: race_day","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F004","race_no","レース 番号","レース 番号を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: race_no","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F005","race_distance","レース 距離","レース 距離を表す再計算可能な特徴量。","m","number|null","deterministic extraction or derivation: race_distance","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F006","field_size","頭数 数","頭数 数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: field_size","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F007","surface_turf","馬場 芝","馬場 芝を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: surface_turf","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F008","surface_dirt","馬場 ダート","馬場 ダートを表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: surface_dirt","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F009","distance_sprint","距離 短距離","距離 短距離を表す再計算可能な特徴量。","m","number|null","deterministic extraction or derivation: distance_sprint","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F010","distance_mile","距離 マイル","距離 マイルを表す再計算可能な特徴量。","m","number|null","deterministic extraction or derivation: distance_mile","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F011","distance_middle","距離 中距離","距離 中距離を表す再計算可能な特徴量。","m","number|null","deterministic extraction or derivation: distance_middle","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F012","distance_long","距離 長距離","距離 長距離を表す再計算可能な特徴量。","m","number|null","deterministic extraction or derivation: distance_long","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F013","season_spring","季節 春","季節 春を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: season_spring","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F014","season_summer","季節 夏","季節 夏を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: season_summer","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F015","season_autumn","季節 秋","季節 秋を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: season_autumn","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F016","season_winter","季節 冬","季節 冬を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: season_winter","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F017","month_sin","月 sin","月 sinを表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: month_sin","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F018","month_cos","月 cos","月 cosを表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: month_cos","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F019","horse_no","馬 番号","馬 番号を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: horse_no","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
